id,h,s,v,hue_values,radio
tr_005,14,126,89,0,30
tr_005,15,147,87,1,31
tr_005,15,90,113,1,31
tr_005,17,99,93,1,33
tr_005,15,114,92,1,30
tr_005,13,104,103,1,31
tr_005,13,110,102,1,30
tr_005,13,108,97,1,30
tr_005,15,127,84,0,31
tr_005,15,142,86,0,32
tr_005,13,93,123,2,30
tr_005,13,86,121,1,30
tr_005,15,109,96,0,31
tr_005,16,146,84,1,32
tr_005,17,126,81,1,32
tr_005,14,95,123,2,30
tr_005,15,117,109,1,30
tr_005,18,152,67,0,31
tr_005,17,117,89,1,31
tr_005,15,98,114,0,28
tr_005,13,91,118,1,31
tr_005,16,120,87,0,31
tr_005,16,115,93,0,30
tr_005,21,103,94,1,35
tr_005,15,118,106,0,31
tr_005,15,138,83,1,31
tr_005,16,114,94,0,30
tr_005,15,122,90,1,31
tr_005,14,115,113,0,31
tr_005,14,118,95,1,31
tr_005,16,141,76,0,32
tr_005,14,142,86,1,31
tr_005,16,116,90,0,32
tr_005,16,123,91,0,31
tr_005,14,122,109,1,30
tr_005,16,148,81,0,31
tr_005,15,115,100,0,30
tr_005,16,103,104,0,31
tr_005,15,132,91,0,31
tr_005,15,99,116,1,31
tr_005,16,145,81,0,31
tr_005,15,143,91,1,31
tr_005,14,123,95,0,30
tr_005,14,116,110,0,31
tr_005,16,113,95,0,32
tr_005,17,117,87,0,32
tr_005,15,130,88,0,30
tr_005,15,147,83,0,31
tr_005,14,101,114,1,30
tr_005,18,119,88,0,32
tr_005,18,139,77,1,32
tr_005,16,143,91,0,31
tr_005,15,103,106,1,30
tr_005,14,115,113,0,30
tr_005,12,90,124,2,30
tr_005,17,132,77,1,32
tr_005,16,145,81,0,30
tr_005,16,115,91,1,31
tr_005,15,124,103,0,30
tr_005,16,115,93,0,31
tr_005,13,97,118,1,30
tr_005,16,142,81,0,31
tr_005,16,131,82,0,31
tr_005,14,124,103,1,30
tr_005,15,86,119,1,32
tr_005,12,98,117,0,30
tr_005,17,134,76,0,32
tr_005,16,137,80,1,31
tr_005,16,129,81,1,31
tr_005,16,146,77,1,30
tr_005,17,127,92,1,32
tr_01,16,84,160,0,31
tr_01,14,89,164,0,29
tr_01,15,92,133,1,30
tr_01,15,93,151,1,29
tr_01,17,90,99,1,30
tr_01,15,99,93,0,29
tr_01,17,106,91,0,28
tr_01,15,101,134,0,28
tr_01,16,92,139,1,30
tr_01,17,93,126,0,30
tr_01,15,94,179,1,29
tr_01,17,83,182,1,31
tr_01,15,92,153,0,29
tr_01,18,97,116,0,30
tr_01,16,100,102,0,28
tr_01,18,87,141,0,30
tr_01,15,90,195,1,29
tr_01,15,87,190,1,30
tr_01,16,86,187,1,30
tr_01,16,86,137,0,29
tr_01,15,90,156,1,29
tr_01,18,86,142,0,31
tr_01,16,90,148,0,30
tr_01,17,102,117,0,28
tr_01,14,85,183,1,30
tr_01,16,81,163,0,31
tr_01,15,82,190,0,30
tr_01,14,92,155,1,28
tr_01,14,93,151,1,29
tr_01,15,88,130,0,29
tr_01,15,81,191,0,30
tr_01,14,84,169,0,30
tr_01,15,90,153,1,29
tr_01,14,89,132,0,29
tr_01,16,84,174,2,31
tr_01,14,92,153,0,29
tr_01,15,94,133,1,28
tr_01,15,90,156,0,28
tr_01,16,89,152,0,30
tr_01,16,81,151,0,29
tr_01,16,81,166,0,30
tr_01,17,88,171,0,31
tr_01,16,84,143,0,30
tr_01,16,105,107,0,29
tr_01,17,90,170,0,30
tr_01,16,87,153,0,30
tr_01,15,91,131,0,29
tr_01,15,87,165,0,29
tr_01,15,88,156,0,29
tr_01,16,86,177,1,30
tr_01,16,86,154,1,29
tr_01,16,94,136,0,29
tr_01,17,80,175,1,31
tr_01,17,98,115,0,29
tr_01,15,89,184,1,30
tr_01,15,92,136,1,29
tr_01,16,100,117,0,29
tr_01,16,96,128,0,28
tr_01,15,87,190,0,29
tr_01,15,81,161,0,28
tr_01,15,88,182,1,30
tr_01,16,93,115,0,30
tr_01,16,103,111,0,29
tr_01,16,95,126,0,29
tr_01,15,88,197,1,30
tr_01,17,91,131,1,30
tr_01,15,82,153,0,29
tr_01,16,102,100,0,29
tr_01,14,86,174,0,30
tr_01,16,87,168,0,29
tr_01,15,88,200,1,30
tr_01,15,87,159,0,30
tr_01,14,88,157,0,28
tr_01,18,89,118,1,31
tr_01,14,102,122,1,28
tr_01,15,101,126,0,28
tr_01,15,86,169,0,30
tr_01,17,102,113,0,30
tr_01,16,95,118,1,31
tr_01,15,85,191,1,31
tr_01,14,92,188,0,28
tr_01,14,86,152,0,30
tr_02,15,77,179,0,34
tr_02,17,85,99,0,34
tr_02,17,87,140,1,34
tr_02,16,76,147,0,33
tr_02,15,80,176,0,34
tr_02,17,75,136,0,34
tr_02,15,92,117,0,32
tr_02,24,76,101,1,37
tr_02,15,79,162,1,33
tr_02,17,88,125,0,33
tr_02,15,89,120,0,32
tr_02,16,101,111,0,33
tr_02,17,91,129,0,34
tr_02,16,79,177,0,34
tr_02,15,82,115,0,32
tr_02,18,84,97,0,34
tr_02,15,83,160,0,33
tr_02,15,74,152,1,34
tr_02,15,80,181,0,34
tr_02,15,76,172,1,34
tr_02,16,92,139,0,34
tr_02,15,84,128,0,32
tr_02,15,89,114,0,33
tr_02,13,81,204,1,32
tr_02,14,80,156,1,33
tr_02,17,92,125,0,34
tr_02,16,77,156,1,36
tr_02,15,79,196,0,33
tr_02,17,87,108,0,32
tr_02,15,80,153,0,33
tr_02,16,91,160,0,34
tr_02,16,81,160,0,34
tr_02,18,88,101,1,33
tr_02,16,81,167,1,33
tr_02,15,79,207,0,32
tr_02,17,84,121,0,33
tr_02,15,75,160,0,33
tr_02,16,81,170,1,34
tr_02,15,77,175,0,33
tr_02,17,79,116,0,33
tr_02,16,81,177,0,34
tr_02,17,75,130,0,33
tr_02,16,87,117,1,33
tr_02,14,73,192,0,34
tr_02,15,92,166,0,33
tr_02,15,81,176,0,34
tr_02,14,75,191,0,34
tr_02,15,92,116,1,32
tr_02,21,66,124,1,35
tr_02,15,91,168,0,33
tr_02,16,72,156,0,34
tr_02,15,72,190,0,34
tr_02,18,91,106,0,33
tr_02,15,89,120,0,33
tr_02,16,74,186,0,34
tr_02,15,70,161,0,34
tr_02,15,90,181,0,33
tr_02,17,90,113,0,33
tr_02,16,80,141,0,34
tr_02,15,80,182,0,34
tr_02,16,78,148,1,34
tr_02,14,71,159,1,34
tr_02,16,103,109,0,32
tr_02,15,92,125,0,32
tr_02,15,75,177,0,34
