epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,142.875,0.55299,3.70675,0.9319,0.01029,0.57322,0.12453,0.10992,0.38664,3.68477,0.81863,5e-05,5e-05,5e-05
2,252.782,0.45434,3.22556,0.86052,0.01836,0.99229,0.29341,0.26584,0.38707,3.3345,0.79307,0.000105644,0.000105644,0.000105644
3,412.077,0.4209,2.61586,0.8477,0.01766,1,0.325,0.29074,0.42881,3.192,0.79331,0.000156536,0.000156536,0.000156536
4,515.83,0.42541,2.31382,0.83896,0.01761,1,0.33426,0.30487,0.38593,3.10763,0.7884,0.000202676,0.000202676,0.000202676
5,643.645,0.40441,2.0081,0.82857,0.75042,0.128,0.35881,0.32144,0.40766,2.89561,0.79269,0.000244064,0.000244064,0.000244064
6,899.567,0.40423,1.86426,0.83391,0.93666,0.13299,0.44954,0.41884,0.33014,2.7665,0.78609,0.0002807,0.0002807,0.0002807
7,1037.46,0.40524,1.67928,0.8392,0.79982,0.22277,0.63801,0.59938,0.33476,2.53652,0.78316,0.000312584,0.000312584,0.000312584
8,1195.89,0.38453,1.55417,0.82606,0.71449,0.45877,0.69372,0.65465,0.32198,2.26825,0.78204,0.000339716,0.000339716,0.000339716
9,1310.76,0.38846,1.41958,0.83523,0.82205,0.64468,0.82054,0.77037,0.35041,1.79126,0.7868,0.000362096,0.000362096,0.000362096
10,1436.18,0.37664,1.25517,0.83062,0.831,0.80558,0.77628,0.73158,0.33679,1.48206,0.78206,0.000379724,0.000379724,0.000379724
11,1565.33,0.36701,1.12943,0.82738,0.75262,0.81824,0.81724,0.77049,0.32368,1.42283,0.78303,0.0003926,0.0003926,0.0003926
12,1678.19,0.38235,1.05832,0.8298,0.7063,0.84276,0.83308,0.78272,0.3328,1.4725,0.78476,0.000400724,0.000400724,0.000400724
13,1784.9,0.37042,0.97183,0.8346,0.89017,0.86136,0.96134,0.91817,0.30402,1.35079,0.78128,0.000404096,0.000404096,0.000404096
14,1893.9,0.36501,0.88328,0.83023,0.93322,0.84809,0.96116,0.90936,0.3174,1.32241,0.78274,0.000402716,0.000402716,0.000402716
15,1997.45,0.35493,0.8104,0.8353,0.94386,0.87035,0.97359,0.92397,0.31066,1.24718,0.78269,0.000396584,0.000396584,0.000396584
16,2092.76,0.31504,1.0046,0.79612,0.97434,0.95619,0.99233,0.93099,0.32514,1.08607,0.78479,0.0003857,0.0003857,0.0003857
17,2204.99,0.32016,0.87228,0.78961,0.92146,0.87277,0.94396,0.90089,0.29935,1.29324,0.7831,0.0003664,0.0003664,0.0003664
18,2334.66,0.30489,0.93764,0.78662,0.94785,0.81619,0.9547,0.91954,0.30267,1.37728,0.78435,0.0003268,0.0003268,0.0003268
19,2450.04,0.30808,0.83404,0.77886,0.95499,0.86771,0.97855,0.94025,0.29648,1.12207,0.78216,0.0002872,0.0002872,0.0002872
20,2554.93,0.30803,0.75215,0.79095,0.95087,0.91948,0.99414,0.95428,0.3017,0.80319,0.78079,0.0002476,0.0002476,0.0002476
21,2647.53,0.29388,0.69644,0.79156,0.91439,0.92062,0.99225,0.96142,0.28001,0.78469,0.77909,0.000208,0.000208,0.000208
22,2755.95,0.28375,0.67593,0.7921,0.94449,0.95554,0.9942,0.96116,0.27848,0.66594,0.77923,0.0001684,0.0001684,0.0001684
23,2844.75,0.28668,0.65618,0.78334,0.97521,0.9908,0.99475,0.96382,0.2781,0.59207,0.77947,0.0001288,0.0001288,0.0001288
24,2938.07,0.28757,0.69774,0.77896,0.99159,0.98822,0.99498,0.96991,0.26692,0.56015,0.77876,8.92e-05,8.92e-05,8.92e-05
25,3037.42,0.27284,0.61896,0.77224,0.98013,0.99247,0.99492,0.97325,0.26315,0.56287,0.77846,4.96e-05,4.96e-05,4.96e-05
