epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,126.968,0.55299,3.70675,0.9319,0.01029,0.57322,0.12453,0.10992,0.38664,3.68477,0.81863,5e-05,5e-05,5e-05
2,225.358,0.45308,3.22765,0.86038,0.0184,0.99229,0.29182,0.26544,0.3838,3.33982,0.79305,0.000104555,0.000104555,0.000104555
3,322.229,0.41784,2.62255,0.84812,0.01766,1,0.32629,0.29048,0.42927,3.17558,0.79265,0.00015317,0.00015317,0.00015317
4,421.396,0.42484,2.32882,0.84017,0.01761,1,0.34263,0.31146,0.38915,3.09313,0.78702,0.000195845,0.000195845,0.000195845
5,518.644,0.40095,2.03247,0.82869,0.56797,0.39907,0.36211,0.32594,0.40486,2.90899,0.79228,0.00023258,0.00023258,0.00023258
6,638.357,0.39973,1.89427,0.83326,0.77251,0.11364,0.42441,0.39649,0.32467,2.78945,0.78551,0.000263375,0.000263375,0.000263375
7,758.01,0.39574,1.7011,0.83789,0.81244,0.22046,0.63628,0.59927,0.33375,2.54136,0.78222,0.00028823,0.00028823,0.00028823
8,867.822,0.38385,1.56135,0.82574,0.70274,0.41421,0.67659,0.63356,0.33241,2.31337,0.78203,0.000307145,0.000307145,0.000307145
9,981.5,0.38472,1.45508,0.83343,0.83334,0.58559,0.78978,0.74924,0.32416,1.91776,0.78248,0.00032012,0.00032012,0.00032012
10,1075.52,0.36798,1.27488,0.82771,0.80275,0.78328,0.82037,0.77714,0.32183,1.54445,0.78111,0.000327155,0.000327155,0.000327155
11,1157.1,0.35211,1.35585,0.80616,0.72483,0.72887,0.80464,0.7518,0.34381,1.53556,0.78508,0.00032825,0.00032825,0.00032825
12,1242.38,0.35073,1.16105,0.80406,0.80532,0.65437,0.90367,0.84856,0.34031,1.69401,0.7873,0.000323405,0.000323405,0.000323405
13,1422.33,0.3458,1.16334,0.79418,0.77921,0.73359,0.89401,0.85365,0.31259,1.7038,0.78373,0.00031262,0.00031262,0.00031262
14,1525.23,0.33628,1.08131,0.7939,0.84051,0.93146,0.8644,0.81401,0.32375,1.56089,0.78435,0.000295895,0.000295895,0.000295895
15,1667.5,0.32303,1.07606,0.77293,0.84848,0.93558,0.87235,0.82428,0.30374,1.44927,0.78047,0.00027323,0.00027323,0.00027323
16,1802.91,0.33435,1.03,0.78987,0.96733,0.97001,0.98315,0.92794,0.3233,1.1506,0.78202,0.000244625,0.000244625,0.000244625
17,1905.49,0.30345,0.89718,0.78786,0.9796,0.98088,0.9927,0.94478,0.31441,1.05129,0.78119,0.000208,0.000208,0.000208
18,2003.48,0.30772,0.89416,0.79165,0.98547,0.97217,0.9942,0.95797,0.29615,0.87932,0.77895,0.0001585,0.0001585,0.0001585
19,2098.28,0.29708,0.81614,0.78419,0.98576,0.97629,0.99443,0.96123,0.28721,0.80893,0.778,0.000109,0.000109,0.000109
20,2199.58,0.28877,0.79088,0.78179,0.98989,0.98408,0.99455,0.95945,0.28129,0.7333,0.77802,5.95e-05,5.95e-05,5.95e-05
